match_id,date_match,status,season_id,season_winner,home_team_id,home_team,away_team_id,away_team,winner,home_goals,away_goals
445498,2023-11-12T15:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,496,Rio Ave FC,Draw,1,1
445495,2023-11-12T18:00:00Z,FINISHED,1603,,712,FC Arouca,5613,Sporting Clube de Braga,Sporting Clube de Braga,0,1
445492,2023-11-12T20:30:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,498,Sporting Clube de Portugal,Sport Lisboa e Benfica,2,1
445506,2023-12-01T20:30:00Z,FINISHED,1603,,1103,GD Chaves,5589,FC Vizela,GD Chaves,2,1
445505,2023-12-02T15:30:00Z,FINISHED,1603,,496,Rio Ave FC,9136,CF Estrela da Amadora,Draw,1,1
445507,2023-12-02T15:30:00Z,FINISHED,1603,,5602,SC Farense,5543,Vitória SC,Vitória SC,1,2
445503,2023-12-02T18:00:00Z,FINISHED,1603,,5531,FC Famalicão,503,FC Porto,FC Porto,0,3
445502,2023-12-02T20:30:00Z,FINISHED,1603,,6618,Casa Pia AC,5601,Portimonense SC,Casa Pia AC,1,0
445508,2023-12-03T15:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,582,GD Estoril Praia,Sporting Clube de Braga,3,1
445504,2023-12-03T18:00:00Z,FINISHED,1603,,583,Moreirense FC,1903,Sport Lisboa e Benfica,Draw,0,0
445501,2023-12-03T20:30:00Z,FINISHED,1603,,810,Boavista FC,712,FC Arouca,FC Arouca,0,4
445509,2023-12-04T20:15:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,5533,Gil Vicente FC,Sporting Clube de Portugal,3,1
445514,2023-12-08T15:30:00Z,FINISHED,1603,,5589,FC Vizela,5613,Sporting Clube de Braga,Sporting Clube de Braga,1,3
445510,2023-12-08T18:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5602,SC Farense,Draw,1,1
445517,2023-12-09T15:30:00Z,FINISHED,1603,,5601,Portimonense SC,5531,FC Famalicão,Draw,1,1
445518,2023-12-09T18:00:00Z,FINISHED,1603,,5543,Vitória SC,498,Sporting Clube de Portugal,Vitória SC,3,2
445513,2023-12-09T20:30:00Z,FINISHED,1603,,503,FC Porto,6618,Casa Pia AC,FC Porto,3,1
445511,2023-12-10T15:30:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,810,Boavista FC,CF Estrela da Amadora,3,1
445512,2023-12-10T18:00:00Z,FINISHED,1603,,712,FC Arouca,496,Rio Ave FC,Draw,2,2
445515,2023-12-10T20:30:00Z,FINISHED,1603,,582,GD Estoril Praia,1103,GD Chaves,GD Estoril Praia,4,0
445516,2023-12-11T20:15:00Z,FINISHED,1603,,5533,Gil Vicente FC,583,Moreirense FC,Draw,1,1
445525,2023-12-15T20:15:00Z,FINISHED,1603,,5602,SC Farense,9136,CF Estrela da Amadora,Draw,0,0
445523,2023-12-16T15:30:00Z,FINISHED,1603,,496,Rio Ave FC,5589,FC Vizela,Draw,1,1
445520,2023-12-16T18:00:00Z,FINISHED,1603,,712,FC Arouca,5533,Gil Vicente FC,FC Arouca,3,0
445519,2023-12-16T20:30:00Z,FINISHED,1603,,810,Boavista FC,5543,Vitória SC,Draw,1,1
445522,2023-12-17T15:30:00Z,FINISHED,1603,,583,Moreirense FC,5601,Portimonense SC,Moreirense FC,5,2
445524,2023-12-17T15:30:00Z,FINISHED,1603,,1103,GD Chaves,6618,Casa Pia AC,Casa Pia AC,1,3
445521,2023-12-17T18:00:00Z,FINISHED,1603,,5531,FC Famalicão,582,GD Estoril Praia,Draw,1,1
445526,2023-12-17T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,0,1
445527,2023-12-18T20:15:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,503,FC Porto,Sporting Clube de Portugal,2,0
445532,2023-12-23T15:30:00Z,FINISHED,1603,,5589,FC Vizela,583,Moreirense FC,Draw,0,0
445536,2023-12-23T15:30:00Z,FINISHED,1603,,5543,Vitória SC,496,Rio Ave FC,Vitória SC,1,0
445530,2023-12-28T20:15:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,712,FC Arouca,FC Arouca,1,4
445528,2023-12-29T18:45:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,5531,FC Famalicão,Sport Lisboa e Benfica,3,0
445531,2023-12-29T20:45:00Z,FINISHED,1603,,503,FC Porto,1103,GD Chaves,FC Porto,1,0
445533,2023-12-30T15:30:00Z,FINISHED,1603,,582,GD Estoril Praia,5602,SC Farense,GD Estoril Praia,4,0
445534,2023-12-30T15:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,810,Boavista FC,Gil Vicente FC,1,0
445529,2023-12-30T18:00:00Z,FINISHED,1603,,6618,Casa Pia AC,5613,Sporting Clube de Braga,Sporting Clube de Braga,1,3
445535,2023-12-30T20:30:00Z,FINISHED,1603,,5601,Portimonense SC,498,Sporting Clube de Portugal,Sporting Clube de Portugal,1,2
445545,2024-01-05T18:45:00Z,FINISHED,1603,,498,Sporting Clube de Portugal,582,GD Estoril Praia,Sporting Clube de Portugal,5,1
445537,2024-01-05T20:45:00Z,FINISHED,1603,,810,Boavista FC,503,FC Porto,Draw,1,1
445538,2024-01-06T15:30:00Z,FINISHED,1603,,9136,CF Estrela da Amadora,5589,FC Vizela,Draw,1,1
445543,2024-01-06T15:30:00Z,FINISHED,1603,,5602,SC Farense,5533,Gil Vicente FC,SC Farense,1,0
445539,2024-01-06T18:00:00Z,FINISHED,1603,,712,FC Arouca,1903,Sport Lisboa e Benfica,Sport Lisboa e Benfica,0,3
445544,2024-01-06T20:30:00Z,FINISHED,1603,,5613,Sporting Clube de Braga,5543,Vitória SC,Draw,1,1
445542,2024-01-07T18:00:00Z,FINISHED,1603,,496,Rio Ave FC,5601,Portimonense SC,Rio Ave FC,2,0
445540,2024-01-07T20:30:00Z,FINISHED,1603,,5531,FC Famalicão,1103,GD Chaves,Draw,2,2
445541,2024-01-08T20:15:00Z,FINISHED,1603,,583,Moreirense FC,6618,Casa Pia AC,Casa Pia AC,1,4
445553,2024-01-12T20:15:00Z,FINISHED,1603,,5601,Portimonense SC,5602,SC Farense,Portimonense SC,1,0
445547,2024-01-13T15:30:00Z,FINISHED,1603,,6618,Casa Pia AC,5531,FC Famalicão,FC Famalicão,0,2
445550,2024-01-13T18:00:00Z,FINISHED,1603,,1103,GD Chaves,498,Sporting Clube de Portugal,Sporting Clube de Portugal,0,3
445551,2024-01-13T20:30:00Z,FINISHED,1603,,582,GD Estoril Praia,583,Moreirense FC,Moreirense FC,1,3
445552,2024-01-14T15:30:00Z,FINISHED,1603,,5533,Gil Vicente FC,9136,CF Estrela da Amadora,Draw,1,1
445546,2024-01-14T18:00:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,496,Rio Ave FC,Sport Lisboa e Benfica,4,1
445549,2024-01-14T18:00:00Z,FINISHED,1603,,5589,FC Vizela,810,Boavista FC,Boavista FC,1,4
445548,2024-01-14T20:30:00Z,FINISHED,1603,,503,FC Porto,5613,Sporting Clube de Braga,FC Porto,2,0
445554,2024-01-15T20:15:00Z,FINISHED,1603,,5543,Vitória SC,712,FC Arouca,Vitória SC,2,1
445557,2024-01-18T18:45:00Z,FINISHED,1603,,5531,FC Famalicão,5613,Sporting Clube de Braga,Sporting Clube de Braga,1,2
445559,2024-01-18T20:45:00Z,FINISHED,1603,,5589,FC Vizela,498,Sporting Clube de Portugal,Sporting Clube de Portugal,2,5
445555,2024-01-19T20:15:00Z,FINISHED,1603,,1903,Sport Lisboa e Benfica,810,Boavista FC,Sport Lisboa e Benfica,2,0
445561,2024-01-20T15:30:00Z,FINISHED,1603,,582,GD Estoril Praia,712,FC Arouca,FC Arouca,1,2
